代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
000006,深振业A,K70房地产业,2025-08-11,3.46,4.15,6.78,6.3,True,2,12,3.83,-5.84,1.7
000008,神州高铁,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-08,4.76,3.58,2.89,4.38,True,2,13,-0.69,-14.56,2.63
000014,沙河股份,K70房地产业,2025-08-13,5.02,5.54,15.04,8.67,True,2,10,-3.79,-92.22,2.26
000025,特力A,F51批发业,2025-08-11,4.23,3.34,17.63,4.08,True,2,12,-0.34,56.04,4.32
000036,华联控股,K70房地产业,2025-08-11,3.41,4.71,3.78,1.59,True,2,12,13.49,205.56,1.04
000045,深纺织A,C39计算机、通信和其他电子设备制造业,2025-08-11,3.37,5.6,11.5,3.06,True,2,12,-3.74,65.11,1.96
000058,深赛格,L72商务服务业,2025-08-05,3.82,5.25,8.82,3.71,True,2,16,1.02,305.23,5.35
000062,深圳华强,F51批发业,2025-08-19,4.08,2.78,29.99,41.8,True,2,6,3.27,120.12,4.45
000065,北方国际,F51批发业,2025-08-07,3.39,2.51,11.45,5.34,True,2,14,0.96,12.75,1.24
000066,中国长城,C39计算机、通信和其他电子设备制造业,2025-08-12,5.39,5.93,15.91,64.05,True,2,11,13.83,-36.97,4.69
000099,中信海直,G56航空运输业,2025-08-04,3.6,5.54,23.25,16.42,True,2,17,5.08,58.01,3.33
000159,国际实业,F51批发业,2025-08-08,4.06,4.01,5.97,2.64,True,2,13,-2.51,-6.59,1.4
000430,ST张家界,N78公共设施管理业,2025-08-21,3.13,3.99,7.56,1.37,True,2,4,-0.4,-5.4,11.84
000498,山东路桥,E48土木工程建筑业,2025-08-07,5.59,2.89,6.05,3.11,True,2,14,-1.49,4.04,0.62
000536,华映科技,C39计算机、通信和其他电子设备制造业,2025-08-21,4.9,2.69,5.72,38.16,True,3,4,1.75,-15.18,19.33
000541,佛山照明,C38电气机械和器材制造业,2025-08-14,3.76,2.45,6.69,3.9,True,2,9,1.94,24.05,1.54
000545,金浦钛业,C26化学原料和化学制品制造业,2025-08-11,3.86,5.09,2.89,2.99,True,2,12,6.23,-11.58,2.53
000551,创元科技,C35专用设备制造业,2025-08-05,3.39,4.89,11.59,3.41,True,2,16,0.78,20.99,2.09
000561,烽火电子,C39计算机、通信和其他电子设备制造业,2025-08-15,3.0,4.73,14.4,25.53,True,2,8,-12.5,-83.67,5.36
000564,供销大集,F52零售业,2025-08-19,3.51,3.02,2.39,19.31,True,4,6,-0.42,-35.99,2.8
000586,汇源通信,C38电气机械和器材制造业,2025-08-05,5.51,5.39,12.71,3.69,True,3,16,-1.81,-515.26,7.53
000592,平潭发展,C20木材加工和木、竹、藤、棕、草制品业,2025-08-21,5.18,4.21,3.22,13.76,True,2,4,20.19,-55.69,3.29
000596,古井贡酒,C15酒、饮料和精制茶制造业,2025-08-11,3.43,6.21,146.74,10.77,True,4,12,12.59,13.42,2.93
000610,西安旅游,L72商务服务业,2025-08-20,3.51,5.72,13.67,6.9,True,2,5,-2.05,-12.81,17.91
000627,*ST天茂,J68保险业,2025-08-12,3.38,2.63,1.56,7.0,True,2,11,1.28,-9.91,0.35
000652,泰达股份,F51批发业,2025-08-11,3.1,3.39,4.57,1.77,True,2,12,-1.97,59.07,1.18
000659,珠海中富,C29橡胶和塑料制品业,2025-07-31,3.71,2.91,2.83,2.15,True,2,19,-2.83,-27.45,17.86
000676,智度股份,L72商务服务业,2025-08-19,3.37,5.25,9.62,15.0,True,2,6,16.22,60.29,2.9
000677,恒天海龙,C17纺织业,2025-08-14,3.1,2.89,5.69,3.61,True,2,9,-5.27,105.79,9.49
000716,黑芝麻,C14食品制造业,2025-08-01,3.09,4.81,6.49,5.38,True,2,18,1.7,64.17,1.92
000721,西安饮食,H62餐饮业,2025-08-14,4.94,3.37,8.89,4.57,True,2,9,15.07,-40.08,18.68
000727,冠捷科技,C39计算机、通信和其他电子设备制造业,2025-08-18,3.29,4.92,2.56,6.02,True,2,7,1.56,-25.65,4.73
000750,国海证券,J67资本市场服务,2025-08-15,3.38,4.64,4.51,16.23,True,2,8,0.89,53.83,1.29
000782,恒申新材,C28化学纤维制造业,2025-08-11,3.89,5.14,5.11,1.96,True,2,12,12.33,-57.03,1.97
000810,创维数字,C39计算机、通信和其他电子设备制造业,2025-08-18,3.51,4.24,12.28,6.38,True,2,7,1.71,93.5,2.2
000818,航锦科技,C26化学原料和化学制品制造业,2025-08-12,4.09,4.24,22.87,17.15,True,2,11,17.67,-14.73,6.56
000830,鲁西化工,C26化学原料和化学制品制造业,2025-08-21,3.27,5.44,12.98,9.02,True,2,4,9.32,13.23,1.3
000837,秦川机床,C34通用设备制造业,2025-08-06,4.04,4.02,12.94,13.04,True,2,15,0.08,236.65,2.73
000859,国风新材,C29橡胶和塑料制品业,2025-08-07,3.95,3.96,7.09,3.95,True,4,14,-3.39,-91.92,2.3
000885,城发环境,N77生态保护和环境治理业,2025-08-12,3.57,2.03,14.59,2.54,True,2,11,2.33,7.55,1.06
000897,津滨发展,K70房地产业,2025-08-07,3.15,5.13,2.46,2.22,True,2,14,-4.47,11.55,1.23
000899,赣能股份,D44电力、热力生产和供应业,2025-08-05,3.02,2.61,9.44,3.13,True,3,16,1.91,13.09,1.55
000902,新洋丰,C26化学原料和化学制品制造业,2025-08-21,4.33,6.29,15.21,10.35,True,3,4,-2.76,12.48,1.72
000911,广农糖业,C13农副食品加工业,2025-08-14,3.43,2.35,7.85,2.11,True,2,9,-0.89,107.62,23.99
000920,沃顿科技,C26化学原料和化学制品制造业,2025-08-20,3.04,5.02,11.93,3.22,True,2,5,-1.17,27.1,2.97
000958,电投产融,D44电力、热力生产和供应业,2025-08-18,3.59,3.98,7.05,9.57,True,5,7,-2.7,38.83,1.88
000965,天保基建,K70房地产业,2025-08-11,4.42,6.65,4.49,6.27,True,2,12,0.22,47.36,0.9
000973,佛塑科技,C29橡胶和塑料制品业,2025-08-13,4.0,3.42,6.95,4.75,True,3,10,-2.16,55.36,2.34
000993,闽东电力,D44电力、热力生产和供应业,2025-08-08,4.0,2.94,10.87,3.85,True,2,13,-0.64,24.7,1.98
000995,皇台酒业,C15酒、饮料和精制茶制造业,2025-08-19,3.06,4.71,15.34,4.36,True,4,6,-4.11,89.91,17.47
001256,炜冈科技,C35专用设备制造业,2025-08-08,3.23,5.52,23.88,2.28,True,2,13,-1.01,36.41,2.9
001269,欧晶科技,C42废弃资源综合利用业,2025-08-18,3.31,2.97,29.86,4.82,True,3,7,-5.19,-10.24,6.0
001288,运机集团,C34通用设备制造业,2025-07-31,3.11,5.67,21.62,3.4,True,2,19,10.78,30.66,2.36
001306,夏厦精密,C34通用设备制造业,2025-08-01,4.85,6.65,83.45,5.12,True,2,18,18.03,94.28,3.93
001333,光华股份,C26化学原料和化学制品制造业,2025-08-08,3.02,2.3,22.28,1.19,True,2,13,-2.15,19.61,1.67
001395,亚联机械,C35专用设备制造业,2025-08-15,4.05,6.09,49.67,2.97,True,2,8,13.75,25.27,3.86
002023,海特高新,C43金属制品、机械和设备修理业,2025-08-20,4.35,5.07,12.03,11.1,True,2,5,0.5,139.34,2.07
002045,国光电器,C39计算机、通信和其他电子设备制造业,2025-08-06,3.53,4.26,16.16,12.07,True,3,15,9.84,35.47,2.03
002047,*ST宝鹰,E50建筑装饰、装修和其他建筑业,2025-08-07,3.65,4.9,2.14,0.73,True,3,14,5.61,-4.73,-151.81
002051,中工国际,E48土木工程建筑业,2025-08-11,3.61,2.18,8.91,3.78,True,2,12,-2.47,29.36,0.95
002052,同洲电子,C39计算机、通信和其他电子设备制造业,2025-08-14,4.02,4.18,13.71,17.43,True,2,9,33.48,33.41,35.55
002062,宏润建设,E48土木工程建筑业,2025-08-12,3.03,5.18,6.09,9.82,True,2,11,20.69,29.44,1.49
002076,*ST星光,C38电气机械和器材制造业,2025-08-01,3.78,4.86,1.94,1.6,True,3,18,0.52,-65.69,7.43
002095,生意宝,I64互联网和相关服务,2025-08-13,4.72,3.25,21.91,8.87,True,3,10,0.5,-234.72,6.14
002117,东港股份,C23印刷和记录媒介复制业,2025-08-08,4.2,2.99,12.41,6.38,True,2,13,3.95,41.31,4.51
002123,梦网科技,I65软件和信息技术服务业,2025-08-21,3.02,5.03,16.08,24.75,True,2,4,-1.74,391.64,7.3
002130,沃尔核材,C39计算机、通信和其他电子设备制造业,2025-08-12,3.18,4.78,24.34,38.67,True,3,11,3.57,33.56,5.32
002131,利欧股份,L72商务服务业,2025-07-31,3.51,3.51,3.83,38.76,True,2,19,36.29,298.98,2.0
002150,通润装备,C33金属制品业,2025-07-30,4.29,3.28,12.28,2.17,True,2,20,4.23,20.26,2.32
002164,宁波东力,C34通用设备制造业,2025-08-06,3.27,4.06,9.75,5.62,True,2,15,28.0,95.3,3.74
002177,御银股份,C35专用设备制造业,2025-08-14,3.27,4.72,6.88,12.86,True,3,9,22.24,443.58,3.07
002179,中航光电,C39计算机、通信和其他电子设备制造业,2025-08-14,3.78,4.15,40.66,30.51,True,2,9,0.79,26.56,3.54
